"location_name","location","indicator","value","source"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",NA,"TESSy COVID-19"
"Austria","AT","cases",12,"TESSy COVID-19"
"Austria","AT","cases",115,"TESSy COVID-19"
"Austria","AT","cases",874,"TESSy COVID-19"
"Austria","AT","cases",3046,"TESSy COVID-19"
"Austria","AT","cases",5098,"TESSy COVID-19"
"Austria","AT","cases",3114,"TESSy COVID-19"
"Austria","AT","cases",1838,"TESSy COVID-19"
"Austria","AT","cases",686,"TESSy COVID-19"
"Austria","AT","cases",450,"TESSy COVID-19"
"Austria","AT","cases",309,"TESSy COVID-19"
"Austria","AT","cases",260,"TESSy COVID-19"
"Austria","AT","cases",324,"TESSy COVID-19"
"Austria","AT","cases",264,"TESSy COVID-19"
"Austria","AT","cases",195,"TESSy COVID-19"
"Austria","AT","cases",228,"TESSy COVID-19"
"Austria","AT","cases",172,"TESSy COVID-19"
"Austria","AT","cases",248,"TESSy COVID-19"
"Austria","AT","cases",334,"TESSy COVID-19"
"Austria","AT","cases",640,"TESSy COVID-19"
"Austria","AT","cases",597,"TESSy COVID-19"
"Austria","AT","cases",784,"TESSy COVID-19"
"Austria","AT","cases",872,"TESSy COVID-19"
"Austria","AT","cases",792,"TESSy COVID-19"
"Austria","AT","cases",721,"TESSy COVID-19"
"Austria","AT","cases",1461,"TESSy COVID-19"
"Austria","AT","cases",1908,"TESSy COVID-19"
"Austria","AT","cases",1943,"TESSy COVID-19"
"Austria","AT","cases",2263,"TESSy COVID-19"
"Austria","AT","cases",3995,"TESSy COVID-19"
"Austria","AT","cases",5215,"TESSy COVID-19"
"Austria","AT","cases",4661,"TESSy COVID-19"
"Austria","AT","cases",5602,"TESSy COVID-19"
"Austria","AT","cases",7488,"TESSy COVID-19"
"Austria","AT","cases",9898,"TESSy COVID-19"
"Austria","AT","cases",18261,"TESSy COVID-19"
"Austria","AT","cases",31615,"TESSy COVID-19"
"Austria","AT","cases",44773,"TESSy COVID-19"
"Austria","AT","cases",47837,"TESSy COVID-19"
"Austria","AT","cases",40699,"TESSy COVID-19"
"Austria","AT","cases",31142,"TESSy COVID-19"
"Austria","AT","cases",23070,"TESSy COVID-19"
"Austria","AT","cases",18694,"TESSy COVID-19"
"Austria","AT","cases",14841,"TESSy COVID-19"
"Austria","AT","cases",13415,"TESSy COVID-19"
"Austria","AT","cases",14916,"TESSy COVID-19"
"Austria","AT","cases",14636,"TESSy COVID-19"
"Austria","AT","cases",10948,"TESSy COVID-19"
"Austria","AT","cases",10156,"TESSy COVID-19"
"Austria","AT","cases",9513,"TESSy COVID-19"
"Austria","AT","cases",9115,"TESSy COVID-19"
"Austria","AT","cases",9458,"TESSy COVID-19"
"Austria","AT","cases",11626,"TESSy COVID-19"
"Austria","AT","cases",14178,"TESSy COVID-19"
"Austria","AT","cases",16313,"TESSy COVID-19"
"Austria","AT","cases",18218,"TESSy COVID-19"
"Austria","AT","cases",21074,"TESSy COVID-19"
"Austria","AT","cases",22296,"TESSy COVID-19"
"Austria","AT","cases",20779,"TESSy COVID-19"
"Austria","AT","cases",17589,"TESSy COVID-19"
"Austria","AT","cases",16809,"TESSy COVID-19"
"Austria","AT","cases",15046,"TESSy COVID-19"
"Austria","AT","cases",12529,"TESSy COVID-19"
"Austria","AT","cases",9016,"TESSy COVID-19"
"Austria","AT","cases",5736,"TESSy COVID-19"
