"location_name","location","indicator","year_week","value","source"
"Austria","AT","cases","2020-01",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-02",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-03",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-04",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-05",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-06",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-07",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-08",NA,"TESSy COVID-19"
"Austria","AT","cases","2020-09",12,"TESSy COVID-19"
"Austria","AT","cases","2020-10",115,"TESSy COVID-19"
"Austria","AT","cases","2020-11",874,"TESSy COVID-19"
"Austria","AT","cases","2020-12",3046,"TESSy COVID-19"
"Austria","AT","cases","2020-13",5098,"TESSy COVID-19"
"Austria","AT","cases","2020-14",3114,"TESSy COVID-19"
"Austria","AT","cases","2020-15",1838,"TESSy COVID-19"
"Austria","AT","cases","2020-16",686,"TESSy COVID-19"
"Austria","AT","cases","2020-17",450,"TESSy COVID-19"
"Austria","AT","cases","2020-18",309,"TESSy COVID-19"
"Austria","AT","cases","2020-19",260,"TESSy COVID-19"
"Austria","AT","cases","2020-20",324,"TESSy COVID-19"
"Austria","AT","cases","2020-21",264,"TESSy COVID-19"
"Austria","AT","cases","2020-22",195,"TESSy COVID-19"
"Austria","AT","cases","2020-23",228,"TESSy COVID-19"
"Austria","AT","cases","2020-24",172,"TESSy COVID-19"
"Austria","AT","cases","2020-25",248,"TESSy COVID-19"
"Austria","AT","cases","2020-26",334,"TESSy COVID-19"
"Austria","AT","cases","2020-27",640,"TESSy COVID-19"
"Austria","AT","cases","2020-28",597,"TESSy COVID-19"
"Austria","AT","cases","2020-29",784,"TESSy COVID-19"
"Austria","AT","cases","2020-30",872,"TESSy COVID-19"
"Austria","AT","cases","2020-31",792,"TESSy COVID-19"
"Austria","AT","cases","2020-32",721,"TESSy COVID-19"
"Austria","AT","cases","2020-33",1461,"TESSy COVID-19"
"Austria","AT","cases","2020-34",1908,"TESSy COVID-19"
"Austria","AT","cases","2020-35",1943,"TESSy COVID-19"
"Austria","AT","cases","2020-36",2263,"TESSy COVID-19"
"Austria","AT","cases","2020-37",3995,"TESSy COVID-19"
"Austria","AT","cases","2020-38",5215,"TESSy COVID-19"
"Austria","AT","cases","2020-39",4661,"TESSy COVID-19"
"Austria","AT","cases","2020-40",5602,"TESSy COVID-19"
"Austria","AT","cases","2020-41",7487,"TESSy COVID-19"
"Austria","AT","cases","2020-42",9898,"TESSy COVID-19"
"Austria","AT","cases","2020-43",18262,"TESSy COVID-19"
"Austria","AT","cases","2020-44",31613,"TESSy COVID-19"
"Austria","AT","cases","2020-45",44772,"TESSy COVID-19"
"Austria","AT","cases","2020-46",47837,"TESSy COVID-19"
"Austria","AT","cases","2020-47",40699,"TESSy COVID-19"
"Austria","AT","cases","2020-48",31142,"TESSy COVID-19"
"Austria","AT","cases","2020-49",23070,"TESSy COVID-19"
"Austria","AT","cases","2020-50",18693,"TESSy COVID-19"
"Austria","AT","cases","2020-51",14841,"TESSy COVID-19"
"Austria","AT","cases","2020-52",13415,"TESSy COVID-19"
"Austria","AT","cases","2020-53",14916,"TESSy COVID-19"
"Austria","AT","cases","2021-01",14636,"TESSy COVID-19"
"Austria","AT","cases","2021-02",10948,"TESSy COVID-19"
"Austria","AT","cases","2021-03",10156,"TESSy COVID-19"
"Austria","AT","cases","2021-04",9513,"TESSy COVID-19"
"Austria","AT","cases","2021-05",9115,"TESSy COVID-19"
"Austria","AT","cases","2021-06",9458,"TESSy COVID-19"
"Austria","AT","cases","2021-07",11627,"TESSy COVID-19"
"Austria","AT","cases","2021-08",14178,"TESSy COVID-19"
"Austria","AT","cases","2021-09",16313,"TESSy COVID-19"
"Austria","AT","cases","2021-10",18218,"TESSy COVID-19"
"Austria","AT","cases","2021-11",21074,"TESSy COVID-19"
"Austria","AT","cases","2021-12",22296,"TESSy COVID-19"
